bla,energy_1_ev,energy_2_ev,osc_strength_1,osc_strength_2
0.125466,6.275511569264602,8.319104863432797,0.818899400229316,0.7867724439060992
0.110464,6.224881401622716,8.24520988505653,0.8079997295944633,0.7829385009243438
0.0954646,6.172605424246395,8.172301136746519,0.7968092366489817,0.7793553904418538
0.0803673,5.427927627995187,10.106505880336027,0.7436178896937997,0.9841109544086922
0.0652275,5.340645278938298,10.039161654343019,0.7357919321079791,0.9838355268624326
0.0500952,5.254482938984061,9.971844620731366,0.7279210043903485,0.9835650869542565
0.0349265,5.168691789282636,9.904515402985616,0.720014567559472,0.9833043669057535
0.0198214,5.084063001305893,9.837230494313395,0.7120946731439799,0.9830253785995774
0.00452051,4.998270879883086,9.76805959145749,0.704047803245653,0.9827477739032179
-0.0107809,4.913235613435317,9.69905977944924,0.6959899264530826,0.9824287115562157
-0.0138626,4.873625467126334,9.658618279153666,0.694505547510783,0.9804640214103644
-0.0200338,4.794934324145747,9.578435239564083,0.6915493896577494,0.9760593009570453
-0.0230615,4.755390258200135,9.538009679423366,0.6901001066731011,0.9735839330757333
-0.0262975,4.7155825773902995,9.49757939504941,0.6885433442959895,0.9709458460878174
-0.0295307,4.675802534580973,9.456891700071965,0.6870033266672412,0.9681290056528639
-0.0327402,4.636251644512316,9.416465751434364,0.6854590287684722,0.9650891596600303
-0.0359374,4.596686607854593,9.376076482115764,0.6839321230286327,0.9618606331054227
-0.0390515,4.558716657596856,9.337301143114393,0.6824651313340554,0.958481380259283
-0.0423162,4.518473869346739,9.296221314083763,0.6809081834227251,0.9547644139871291
-0.0457886,4.4785662050272945,9.255317647406839,0.6792682580767565,0.9508033861070065
-0.0490522,4.439290059235837,9.215005442235936,0.6777158791863193,0.9466024312888309
-0.0523145,4.400115779661949,9.174809494035301,0.6761654085967645,0.9421159135883943
-0.0556133,4.361075204901693,9.134610974381406,0.6746124385582742,0.9374318941085065
-0.062,4.283490660673422,9.054888087018096,0.6715474761132636,0.9271744376618462
-0.075,4.130841032342393,8.897192381793783,0.6655591858606255,0.9030998842315108
-0.088,3.981340080645225,8.741991941966354,0.6597395221554611,0.87412031185124
-0.099,3.8345654955164945,8.589005380234436,0.6540804007859855,0.8399418633705663
-0.111,3.690343455526862,8.438716088359827,0.6485788487246713,0.8001366893969596
-0.122,3.5489917765575423,8.290401343965968,0.6432203502686659,0.7554419576309641
-0.134,3.3913331542622203,8.155216414525716,0.6362891495496381,0.9980069679677985
-0.144,3.2529962604142106,8.013529020918405,0.6308845983637784,0.9995114402585126
